headword,transliteration,meaning_en,part_of_speech
सुनाकुत,sunākuta,or sunAkfta m,m.
सुनाकृत,sunākṛta,or sunAkuta m,m.
सुनाभ,sunābha,"&c , see p",
सुनार,sunāra,the milk of a female dog L.,m.
सुनासीर,sunāsīra,See SunA-sIra,
सुनिक,sunika,N. of a minister of Ripum2-jayaripuM-jaya (v.l. Sunaka) VP.,m.
सुनिकृष्ट,sunikṛṣṭa,"su-niKAta &c , see p",
सुनु,sunu,"See su-nO, p",
सुनू,sunū,"See su-lU, p",
सुन्द्,sund,a SautrasOtra root meaning to shine,m.
सुन्न,sunna,N. of a man Ra1jat.,m.
सुन्यस्त,sunyasta,See p,
सुन्वत्,sunvat,"sunvAna , see 3",
सुप्,sup,in gram.) technical expression for the termination of the loc,n.
सुपक्व,supakva,mf(A)n. (i.e. 5. su+p,mf
सुप्त,supta,fr. svap,mfn.
सुप्लन्,suplan,N. of a person (having the patr. Sa1rn5jayasArYjaya) S3Br.,m.
सुफल,suphala,"&c , see p",
सुफालिह,suphāliha,"suPAliha or suPAlIha or suPAhila , N",
सुफालीह,suphālīha,"suPAliha or suPAlIha or suPAhila , N",
सुफाहिल,suphāhila,"suPAliha or suPAlIha or suPAhila , N",
सुबद्ध,subaddha,"su-banDa &c , see p",
सुब्रह्मण्य,subrahmaṇya,"su-brAhmaRa , see p",
सुभ्,subh,"cl.9.6. P. suBnAti, sumBati, (prob.) to smother (only impf. asuBnan TS.",mfn.
सुभ,subha,"for su-Ba , see p",mfn.
सुभक्ति,subhakti,"-Bakzya , see p",
सुभग,subhaga,"-BaNga &c , see p.1229, cols",
सुभाञ्जन,subhāñjana,= SoBAYjana,m.
सुभ्वन्,subhvan,v.l. for suBvan (q.v.,
सुम,suma,i.e. 5. su + 4. ma,m.
सुमङ्गा,sumaṅgā,N. of a river VP.,f.
सुमत्,sumat,prob,ind.
सुमतित्सरु,sumatitsaru,said of a plough) TS. (cf. su-matI-kf and 1. matya,mfn.
सुमधुर,sumadhura,"su-maDya &c , see p",
सुमागन्धा,sumāgandhā,N. of a river (perhaps w.r. for su-mAgaDI) Ka1ran2d2.,f.
सुमित्र,sumitra,"su-muKa,su-meDas , see cols",
सुम्न,sumna,"prob. fr. 5. su and mnA = man) benevolent, kind, gracious, favourable RV. x, 5, 3",mfn.
सुम्पलुण्ठ,sumpaluṇṭha,zedoary,m.
सुम्भ्,sumbh,"see suB, p",
सुम्भ,sumbha,pl. N. of a people R.,m.
सुम्मुनि,summuni,N. of a king Ra1jat.,m.
सुयज्,suyaj,i.e. 5. su + 2. yaj) worshipping or sacrificing well RV.,mfn.
सुय्य,suyya,N. of a man (the foster son of Suyya1suyyA) Ra1jat.,n.
सुर्,sur,"rather Nom. fr. sura below) cl.6 P. surati, to rule, possess supreme or superhuman power Dha1tup. xxviii, 50",m.
सुरङ्गा,suraṅgā,"for su-raNgA , see p. 1232, col. 1) a hole cut in the wall or made underground (= suruNgA q.v.) MBh.",f.
सुरडा,suraḍā,Ipomoea Turpethum Car.,f.
सुरत,surata,"&c , see p",
सुरभि,surabhi,"mf(is, or I)n",mf
सुरस,surasa,"&c , see p",
सुरा,surā,ifc. also n(sura).,f.
सुराति,surāti,"su-rADas &c , see p",
सुराल,surāla,N. of a preceptor Cat.,m.
सुराष्ट्र,surāṣṭra,"&c , see p",
सुरिस,surisa,See indra-s.,
सुरीक,surīka,N. of a poet Cat.,m.
सुरुङ्ग,suruṅga,"a kind of tree, Moringa Pterygosperma (cf",m.
सुरुच्,suruc,"su-ruci &c , see p",
सुरुन्दला,surundalā,N. of a river L.,f.
सुरूण्ड,surūṇḍa,pl. N. of a dynasty (v.l. guruRqa,m.
सुरेज्य,surejya,"surendra , see p.1235, cols",
सुल्,sul,only in pr/a-sulAmi v.l,
सुल,sula,g. balAdi.,mfn.
सुलक्कण,sulakkaṇa,"su-lakza &c , see p",
सुलतान,sulatāna,a sultan L.,m.
सुलेक,suleka,cf. leka) N. of an A1dityaAditya A1pS3r.,m.
सुलेख,sulekha,"su-locana &c , see p",
सुल्लण,sullaṇa,w.r. for sulhaRa below.,
सुल्लाविहार,sullāvihāra,N. of a monastery Ra1jat.,m.
सुल्हण,sulhaṇa,N. of the author of the Su-kavi-hr2idaya7nandini1su-kavi-hfdayAnandinI (a Comm. on Keda1rakedAra's Vr2itta-ratna7karavftta-ratnAkara) Cat.,m.
सुल्हरी,sulharī,N. of a place Ra1jat.,f.
सुवंश,suvaṃśa,"su-vaktra &c , see p",
सुवन,suvana,said to be fr,m.
सुवर्,suvar,= sv/ar3,ind.
सुवर्चक,suvarcaka,"su-varcala &c , see p",
सुवर्ण,suvarṇa,mf(A)n,mf
सुवर्धामन्,suvardhāman,"&c , see p",
सुवर्ष,suvarṣa,"&c , see p",
सुवित,suvita,fr. 5. su + ita,mfn.
सुविद,suvida,"su-vidagDa &c , see p",
सुशंस,suśaṃsa,i.e. 5. su + S) saying or wishing good things,mfn.
सुशवी,suśavī,"See suzavI, p",
सुशिक्मन्,suśikman,prob,
सुशेरु,suśeru,a kind of sand or gravel TBr,m.
सुश्रवस्,suśravas,su-Sruta &c,
सुषंसद्,suṣaṃsad,i.e. 5. su + saMs/ad) having a good meeting,mfn.
सुषवी,suṣavī,also written suSavI and susavI) N. of various plants (Momordica Charantia,f.
सुषि,suṣi,also written Suzi) the hole of a reed or cane A1pS3r,m.
सुषिक,suṣika,or suzima coldness L.,m.
सुषिम,suṣima,or suzika coldness L.,m.
सुषिलीका,suṣilīkā,a kind of bird VS.,f.
सुषुत्,suṣut,"&c , see p",
सुषुप्सा,suṣupsā,"fr. Desid. of svap) desire of sleeping, sleepiness MBh.",f.
सुषूय,suṣūya,Nom. A1. yate (also written susUya,
सुष्कन्त,suṣkanta,N. of a son of DharmanetraDarmanetra (v.l. suzmanta) Hariv.,m.
सुष्ठु,suṣṭhu,fr. sTA,ind.
सुष्म,suṣma,"a rope, cord (v.l",n.
सुष्मन्त,suṣmanta,See suzkanta above.,
सुष्वय,suṣvaya,"Nom. P. A1. yati, te (fr. next) , to run, flow RV.",mfn.
सुसंयत,susaṃyata,i.e. 5. su + s) well governed or guided (as horses) MBh.,mfn.
सुस्थुषस्,susthuṣas,to be pronounced in a partic,
सुस्नयु,susnayu,said to be fr,m.
सुस्ना,susnā,a kind of pulse,f.
सुस्मूर्षमाण,susmūrṣamāṇa,fr. Desid. of smf) wishing or trying to recollect Bhat2t2.,mfn.
सुस्रग्धर,susragdhara,"&c , see col.1.",
सुस्सल,sussala,N. of a man (cf. sOssala) Ra1jat.,m.
सुह्,suh,"cf. sah) cl.4 P. suhyati, to satisfy, gladden Dha1tup. xxvi, 21",
सुहणमुख,suhaṇamukha,"?) , N",
सुहत,suhata,i.e. 5. su + hata,mfn.
सुहृद्,suhṛd,"good-hearted , kindhearted , well-disposed , a friend, ally (also said of planets",m.
सुहोतृ,suhotṛ,"&c , see above.",
सुह्म,suhma,N. of a district or (pl.) a people in the west of Bengal (called after Suhmasuhma,m.
सू,sū,not separable in all forms fr. 2. sU,m.
सू,sū,"cf. 1. sU and 5. su) cl.2 A1. (Dha1tup. xxiv, 21) sUte (1. sg. pr. suve, 3. sg. impf. asUta",f.
सू,sū,"ind., Ved",ind.
सूकर,sūkara,"prob. fr. sU + kara, making the sound sU",m.
सूक्त,sūkta,5. su + ukta) well or properly said or recited RV. &c,mfn.
सूक्ष्म,sūkṣma,mf(A)n,mf
सूखर,sūkhara,pl. N. of a S3aivaSEva sect W.,m.
सूच्,sūc,rather Nom,mf
सूचित,sūcita,5. su ucita,mfn.
सूच्चैस्,sūccais,5. su + uc) very loud A1pS3r.,ind.
सूच्छ्रित,sūcchrita,well raised or lifted up or erected R.,mfn.
सूड,sūḍa,of unknown meaning) Sam2gi1t.,
सूत्,sūt,an imitative sound) .,ind.
सूत,sūta,"of doubtful derivation, prob. to be connected with 1. sU",m.
सूतवे,sūtave,"sUtav/E , see 2",
सूति,sūti,fr. 3. su,f.
सूति,sūti,fr. siv) = syUti L.,f.
सूत्त,sūtta,"= su-datta) well given, entirely given (cf",mfn.
सूत्तर,sūttara,5. su + uttara) very superior W.,mfn.
सूत्थान,sūtthāna,5. su + utTAna) good effort MW.,mfn.
सूत्पर,sūtpara,?) n,n.
सूत्पलावती,sūtpalāvatī,N. of a river Ma1rkP.,f.
सूत्र्,sūtr,"rather Nom. fr. sUtra below) cl.10 P. (Dha1tup. xxxv, 54) sUtrayati (accord. to Gr. also te and sUtrApayati), to string or put together Hcat.",n.
सूत्रामन्,sūtrāman,= su-tr N,m.
सूद्,sūd,"prob. connected with svad) cl.1 A1. (Dha1tup. ii, 24) sUdate (occurring only in the reduplicated forms suzUdima RV.",m.
सूदया,sūdayā,= sUd ?) a herb DivyA7v.,f.
सूदर,sūdara,having a well-formed belly Pa1n2,mfn.
सूद्गातृ,sūdgātṛ,an excellent Udga1tr2iudgAtf (q.v.) TS.,m.
सून,sūna,See p,
सूनर,sūnara,mf(I)n,mf
सूना,sūnā,"prob. fr. siv, to sew , and connected with sUci and sUtra",f.
सूनु,sūnu,1. 2. 3. sUnu.,
सूनृत,sūnṛta,See col.2.,
सून्नीय,sūnnīya,for sUnneya,mfn.
सून्मद,sūnmada,"sUnmada or sUnmAda, (prob.) w.r",
सून्माद,sūnmāda,"sUnmada or sUnmAda, (prob.) w.r",
सूप,sūpa,of doubtful derivation cf. sUda,m.
सूपचर,sūpacara,easily accessible,mfn.
सूपत्,sūpat,cf. kUpat) g. cAdi.,ind.
सूपतीर्थ,sūpatīrtha,mf(A)n,mf
सूपद्वंश,sūpadvaṃśa,good spice or condiment R.,m.
सूपद्वार,sūpadvāra,having beautiful side-doors R.,mfn.
सूपयुक्त,sūpayukta,well used or employed Ja1takam.,mfn.
सूपवञ्चन,sūpavañcana,mf(/A)n,mf
सूपविष्ट,sūpaviṣṭa,comfortably seated BhP.,mfn.
सूपसंस्कृत,sūpasaṃskṛta,well prepared Car.,mfn.
सूपसदन,sūpasadana,good or easy to be approached or stayed with TS.,mfn.
सूपसम्पन्न,sūpasampanna,duly initiated Buddh.,mfn.
सूपसर्पण,sūpasarpaṇa,mf(/A)n,mf
सूपसिद्ध,sūpasiddha,well-seasoned,mfn.
सूपस्कर,sūpaskara,furnished with good implements or a good equipment MBh.,mfn.
सूपस्था,sūpasthā,forming a good place of rest or shelter RV.,mfn.
सूपाय,sūpāya,a good means or expedient Ka1m.,m.
सूपावसान,sūpāvasāna,mf(/A)n,mf
सूपावृत्,sūpāvṛt,willingly turning towards MaitrS.,mfn.
सूभर्व,sūbharva,for su + B fr. Barv) eating or feeding well (as a bull,mfn.
सूम,sūma,said to be fr. 2. su,m.
सूमय,sūmaya,for su-m) well shaped or fashioned (as a bow) RV,mfn.
सूय,sūya,See p,
सूयवस,sūyavasa,"&c , see su-y, p",
सूर्,sūr,"&c , see SUr, p",
सूर्,sūr,weak form of 2,m.
सूर,sūra,fr. 1. sU) an inciter,m.
सूर,sūra,fr. 3. su) the Somasoma-juice flowing from the Somasoma press RV.,m.
सूरत,sūrata,"for su-r) well disposed towards, compassionate, tender Un2",mfn.
सूरथ,sūratha,for su-r) N,m.
सूरि,sūri,fr. sf,m.
सूरी,sūrī,See f,f.
सूर्क्ष्,sūrkṣ,"or sUrkzy cl.1 P. (Dha1tup. xxvii, 15",
सूर्क्ष्य्,sūrkṣy,"or sUrkz cl.1 P. (Dha1tup. xxvii, 15",n.
सूर्जन,sūrjana,N. of a king Cat.,m.
सूर्त,sūrta,fr. sf,mfn.
सूर्प,sūrpa,paka,
सूर्मि,sūrmi,or sUrm/I (rather fr. sf than fr. su + Urmi,f.
सूर्मी,sūrmī,or sUrmi (rather fr. sf than fr. su + Urmi,f.
सूर्य,sūrya,"&c , see p.1243, col, 1.",
सूर्यन्ती,sūryantī,w.r. for tUryantI A1pGr2.,
सूर्व्य,sūrvya,being in beautiful vessels &c (cf,mfn.
सूलीक,sūlīka,"See SUlIka, p",
सूवन्,sūvan,"sUvarI , see p",
सूष्,sūṣ,"also written SUz) cl.1 P. sUzati, to bring forth",f.
सूष,sūṣa,prob,m.
सूषस्,sūṣas,one who enjoys a good dawn or happy morning AV.,mfn.
सृ,sṛ,"cf. sal) cl.1.3. P. (Dha1tup. xxii, 37",mfn.
सृक्,sṛk,an inarticulate sound.,
सृक,sṛka,"usually derived fr. sf, or sfj",m.
सृकण्डु,sṛkaṇḍu,N. of a man g. SuBrAdi,m.
सृकाल,sṛkāla,= sfgAla,m.
सृक्क,sṛkka,"sfkka, sfkkaRI &c = (or v.l",
सृक्कणी,sṛkkaṇī,"sfkka, sfkkaRI &c = (or v.l",
सृक्था,sṛkthā,perhaps fr,f.
सृगाल,sṛgāla,also written SfgAla,m.
सृङ्का,sṛṅkā,of unknown meaning),f.
सृज्,sṛj,"cf. 1. 2. sarj) cl.6 P. (Dha1tup. xxviii, 121) sfj/ati (Ved. and ep. also te, and once in AV. s/arjati",mfn.
सृजवान,sṛjavāna,N. of a son of Dyuti-matdyuti-mat (v.l. sfjAvaRa) VP.,m.
सृञ्जय,sṛñjaya,N. of a son of Devava1tadevavAta RV.,m.
सृञ्जरी,sṛñjarī,gee preceding.,
सृणि,sṛṇi,said to be fr. sf) an elephant-goad Hcar.,mf.
सृत्,sṛt,"sfta &c , see p",
सृदर,sṛdara,"a serpent, snake Un2",m.
सृदाकु,sṛdāku,said to be fr,m.
सृध्,sṛdh,w.r. for sr/iD AV.,
सृप्,sṛp,"cl.1 P. (Dha1tup. xxiii, 14) s/arpati (ep. and mc. also te",m.
सृपाट,sṛpāṭa,a small leaf of a flower &c L.,m.
सृबिन्द,sṛbinda,N. of a demon slain by Indraindra RV.,m.
सृभ्,sṛbh,or sfmB (cf,
सृम्भ्,sṛmbh,or sfB (cf,
सृम,sṛma,N. of an Asuraasura (cf. sfpa above and sfmara col.1) MaitrS.,m.
सृष्ट,sṛṣṭa,"&c , see col.2.",
सॄ,sṝ,cf. SF,mfn.
से,se,2. sg. A1. of 1. as.,
से,se,and f(si),m.
सेक्,sek,cf. srek) cl.1 A1. sekate,
सेक,seka,"fr. sic) pouring out, emission, effusion (as of the seminal fluid",m.
सेकन्धर,sekandhara,"= $, Iskandar (Alexander) Cat.",m.
सेगव,segava,cf. syagavi) a young crab L.,m.
सेङ्गर,seṅgara,said to be = sfNgivara) N,m.
सेचालिन्,secālin,g. suvAstv-Adi Ka1s3. (v.l. sevAlin).,
सेट,seṭa,a partic,m.
सेटु,seṭu,a kind of water-melon or cucumber L.,m.
सेठ,seṭha,fr. SrezWa,m.
सेतकी,setakī,g. nady-Adi.,f.
सेतव्य,setavya,See col.2.,
सेतु,setu,fr. 1. si) binding,mfn.
सेदि,sedi,"fr. sad) weariness, exhaustion, decay VS.",f.
सेद्धव्य,seddhavya,fr. 2. siD) to be kept off or prevented MW.,mfn.
सेन,sena,7. sa + ina) having a master or lord,mfn.
सेन,sena,?) n,n.
सेना,senā,"fr. 2. si) a missile, dart, spear RV.",f.
सेन्दुक,senduka,N. of poet Cat.,m.
सेन्दुड,senduḍa,N. of poet Cat.,m.
सेन्दुभ,sendubha,N. of poet Cat.,m.
सेन्द्र,sendra,accompanied by or together with Indraindra TS.,mfn.
सेन्द्रिय,sendriya,possessed of manly vigour or potency ( 252236.1-tv/a n,mfn.
सेपुर,sepura,N. of a village of the Ba1hi1kasbAhIkas Pat. Sch.,n.
सेफ,sepha,w.r. for SePa q.v.,
सेभ्य,sebhya,?) coldness L.,m.
सेमन्ती,semantī,the Indian white rose L.,f.
सेय,seya,fr. san) obtaining (See Sata-s).,n.
सेय,seya,fr. so).,mfn.
सेयन,seyana,N. of a son of Vis3va1mitraviSvAmitra (v.l. sayana) MBh.,m.
सेर,sera,used in explaining sIra S3Br.,mfn.
सेराल,serāla,pale-yellowness L.,n.
सेराह,serāha,a horse of milk-white colour L.,m.
सेरु,seru,See col.2.,
सेर्ष्य,serṣya,"mf(A)n. full of envy, envious, jealous of (comp.) Prab.",mf
सेल्,sel,v.l. for Sel q.v.,
सेल,sela,or n,m.
सेलग,selaga,"perhaps fr. sela = SEla + ga) a waylayer, robber AitBr.",m.
सेलिस,selisa,a kind of white deer L.,m.
सेलु,selu,= Selu,m.
सेल्हार,selhāra,N. of a family Cat.,m.
सेव्,sev,"cl.1 A1. (Dha1tup. xiv, 30) sevate (rarely ti",n.
सेवक,sevaka,fr. siv,m.
सेवती,sevatī,the Indian white rose L.,f.
सेवधि,sevadhi,w.r. for Seva-Di.,
सेवन्तिकापरिणय,sevantikāpariṇaya,N. of a Na1t2akanAwaka or a Ka1vyakAvya Cat.,m.
सेवालिन्,sevālin,fr. savAla,mfn.
सेवासी,sevāsī,with 1,ind.
सेश्वर,seśvara,7. sa + ISvara) having a god,mfn.
सेषु,seṣu,7. sa + izu) having an arrow (See next) .,mfn.
सेष्टि,seṣṭi,7. sa + 3. izwi) provided with a sacrifice A1pS3r.,mfn.
सेष्मीयाण,seṣmīyāṇa,See smi,
सेहान,sehāna,See 1,
सेहु,sehu,a partic,m.
सेहुण्ड,sehuṇḍa,Euphorbia Ligularia (cf,m.
सेह्नोक,sehnoka,or sehloka m,m.
सेह्लोक,sehloka,or sehnoka m,m.
सै,sai,cf. 3. sA,
सैंह,saiṃha,"mf(I)n. (fr. siMha) belonging to lions, leonine, lion-like MBh.",mf
सैक,saika,"added to one, plus one Ya1jn5.",mfn.
सैकत,saikata,mf(I)n,mf
सैकयत,saikayata,g. krOqy-Adi.,m.
सैक्य,saikya,fr. seka) connected with or dependent on sprinkling or watering VarBr2S.,mfn.
सैक्षव,saikṣava,7. sa + Ekzava) sugared,mfn.
सैचालिन,saicālina,fr. secAlin) g. suvAstv-Adi (Ka1s3. sEvAlin).,mfn.
सैत,saita,N. of a family of princes Buddh.,m.
सैतकेय,saitakeya,fr. setakI) g. nadyAdi.,mfn.
सैतव,saitava,fr. setu) consisting of a dam or bridge Ka1v.,mfn.
सैतवाहिनी,saitavāhinī,perhaps for sita v) N,f.
सैद्धान्तिक,saiddhāntika,mf(I)n,mf
सैध्रक,saidhraka,fr. siDraka) made of the wood of the SidhrakasiDraka tree TBr.,mfn.
सैनक,sainaka,fr. senA,n.
सैन्दूर,saindūra,fr. sindUra) coloured with red-lead or vermilion (rI-kf,mfn.
सैन्धव,saindhava,mf(I)n,mf
सैन्धी,saindhī,spirituous liquor (esp,f.
सैमन्तिक,saimantika,fr. sImanta) red-lead (so called because used to make a mark along hair-parting) L.,n.
सैर,saira,mf(I)n,mf
सैरावत्,sairāvat,accord,mfn.
सैरिध्रक,sairidhraka,See sEriMDraka.,
सैरिभ,sairibha,a buffalo Hcar.,m.
सैरिष्ठ,sairiṣṭha,pl. N. of a people Ma1rkP.,m.
सैलग,sailaga,fr. selaga q.v.) a waylayer,m.
सैलि,saili,pl. N. of a people VarBr2S.,m.
सैवाल,saivāla,See SEvAla.,
सैवालिन,saivālina,or SEv) mfn,mfn.
सैस,saisa,fr. sIsa) leaden,mfn.
सैसिकत,saisikata,pl. N. of a people MBh. (B. sEsiriDra).,m.
सैसिरिध्र,saisiridhra,See preceding.,
सैहरेय,saihareya,fr. sIhara) g. saKy-Adi.,mfn.
सो,so,usually with prepositions,
सो,so,nom. sos) N. of Pa1rvati1pArvatI L.,f.
सो,so,= s/A (f,
सोक्थ,soktha,with the UkthaukTa (q.v.) Ta1n2d2Br.,mfn.
सोख,sokha,with a caldron S3Br.,mfn.
सोच्छ्रय,socchraya,having height,mfn.
सोच्छ्वास,socchvāsa,"breathing hard, panting ( 252538.1-tva n. ) R.",mfn.
सोटा,soṭā,Pat. on Pa1n2. 3-1,
सोढ,soḍha,fr. 1. sah,mfn.
सोढल,soḍhala,N. of various authors (v.l. soWala) Cat.,m.
सोतु,sotu,fr. 3. su) extraction of Somasoma,m.
सोतृ,sotṛ,fr. 2. sU) engendering,mfn.
सोत्क,sotka,mf(A)n. full of desire or longing R2itus.,mf
सोत्कण्ठ,sotkaṇṭha,mf(A)n,mf
सोत्कम्प,sotkampa,trembling,mfn.
सोत्कर्ष,sotkarṣa,having eminence,mfn.
सोत्तर,sottara,with or connected with a wager or bet Na1r.,mfn.
सोत्पल,sotpala,possessing lotuses MW.,mfn.
सोत्पात,sotpāta,anointing with oil (?) L.,n.
सोत्पीड,sotpīḍa,emitting a stream (as a mountain) R.,mfn.
सोत्प्रास,sotprāsa,"exaggerated, ironical, derisive, scornful ( 252576.1am ind. scornfully) Ratna7v.",mfn.
सोत्प्रेक्षम्,sotprekṣam,with indifference,ind.
सोत्व,sotva,1. and 2. s/otva.,
सोत्सङ्ग,sotsaṅga,deepened,mfn.
सोत्सव,sotsava,connected with a festival,mfn.
सोत्साह,sotsāha,"making effort, vigorous, resolute, energetic, courageous (with GanAH, threatening clouds ) Ka1v.",mfn.
सोत्सुक,sotsuka,"mf(A)n. regretful, sorrowful, anxious about, yearning or longing for (loc. or acc. with prati, or comp.) Ka1v.",mf
सोत्सेक,sotseka,haughty,mfn.
सोत्सेध,sotsedha,high,mfn.
सोदक,sodaka,mf(A)n. having or containing water TS.,mf
सोदधिल,sodadhila,consisting of four (udaDi = the ocean and the number 4 ) short syllables (la) VarBr2S,mfn.
सोदय,sodaya,having an increase of profit,mfn.
सोदर,sodara,"mf(I)n. born from the same womb, co-uterine, of whole blood Mn.",mf
सोदर्क,sodarka,having elevations or turrets MBh.,mfn.
सोद्धरण,soddharaṇa,together with sweetmeats which are taken home MBh,mfn.
सोद्बाष्पम्,sodbāṣpam,with tears,ind.
सोद्यम,sodyama,prepared or equipped for combat ib.,mfn.
सोद्योग,sodyoga,making active exertion energetic,mfn.
सोद्वेग,sodvega,mf(A)n,mf
सोध,sodha,pl. N. of a people (v.l. goDa) MBh.,m.
सोनह,sonaha,garlic L.,m.
सोनि,soni,or f,m.
सोनोदेवी,sonodevī,N. of a woman Cat.,f.
सोन्माद,sonmāda,mf(A)n,mf
सोपकरण,sopakaraṇa,together with the implements Mn,mfn.
सोपक्रम,sopakrama,set about,mfn.
सोपग्रहम्,sopagraham,with conciliation,ind.
सोपचय,sopacaya,connected with gain or advantage,mfn.
सोपचार,sopacāra,mf(A)n,mf
सोपद्रव,sopadrava,mf(A)n,mf
सोपध,sopadha,"full of fraud or deceit, fraudulent, guileful ( 252642.1am ind. ) MBh.",mfn.
सोपनिषत्क,sopaniṣatka,along with the Upanishadsupanizads Kull,mfn.
सोपन्यास,sopanyāsa,well founded or substantiated (as speech) Hariv.,mfn.
सोपपत्तिक,sopapattika,"well founded or substantiated, correct, right Na1g.",mfn.
सोपपद,sopapada,together with a secondary word S3a1n3khS3r.,mfn.
सोपप्लव,sopaplava,eclipsed (as the sun or moon) L.,mfn.
सोपबर्हण,sopabarhaṇa,mf(A)n,mf
सोपम,sopama,mf(A)n,mf
सोपर,sopara,with the under part of the sacrificial post Ka1tyS3r.,mfn.
सोपरोध,soparodha,obstructed,mfn.
सोपवास,sopavāsa,mf(A)n. one who fasts or has fasted Ya1jn5.,mf
सोपसर्ग,sopasarga,mf(A)n,mf
सोपस्वेद,sopasveda,having perspiration or moisture,mfn.
सोपहव,sopahava,with an invitation Ka1tyS3r,mfn.
सोपहास,sopahāsa,"accompanied with derisive laughter, sneering, jocular, sarcastic ( 252670.1am ind",mfn.
सोपांशुयाज,sopāṃśuyāja,with an oblation offered in secret or with a whisper S3a1n3khS3r.,mfn.
सोपाक,sopāka,perhaps for Sva-pAka) a man of a degraded caste (the son of a Can2d2a1lacaRqAla by a Pulkasi1pulkasI,m.
सोपाख्य,sopākhya,"one about whom anything can be affirmed , having qualifications (cf",mfn.
सोपादान,sopādāna,furnished with materials (as a carpenter who builds a house with wood) Ni1lak.,mfn.
सोपाधि,sopādhi,restricted by some condition or limitation or stipulation,mfn.
सोपाध्यायगण,sopādhyāyagaṇa,with a multitude of teachers R.,mfn.
सोपान,sopāna,"perhaps contracted fr. sa + upAyana) stairs, steps, a staircase, ladder to (gen. or comp.) MBh.",n.
सोपानह्,sopānah,nom. nat) furnished with shoes or sandals,mfn.
सोपाय,sopāya,accompanied (as a song) La1t2y.,mfn.
सोपारकपत्तन,sopārakapattana,N. of a town Pan5cad.,n.
सोपालम्भ,sopālambha,conveying a censure ( 252702.1am ind,mfn.
सोपाश्रय,sopāśraya,having a support,mfn.
सोपासन,sopāsana,having the sacred domestic fire (See 2,mfn.
सोभ,sobha,N. of the city of the GandharvasganDarvas. IndSt.,n.
सोभय,sobhaya,comprehending both Ra1matUp.,mfn.
सोभरि,sobhari,"or rI) m. N. of the author of the hymns RV. viii, 19-22 &c (having the patr. kARva, or ANgirasa) RV.",m.
सोभाञ्जन,sobhāñjana,w.r. for SoB.,
सोम,soma,fr. 3. su) juice,m.
सोम,soma,prob.) together with Uma1umA,mfn.
सोर,sora,a crooked movement L.,m.
सोरण,soraṇa,astringent and sweet and sour and salt L.,mfn.
सोरावास,sorāvāsa,broth made of meat without salt L.,m.
सोराष्ट्रिक,sorāṣṭrika,w.r. for sOr.,
सोर्णभ्रू,sorṇabhrū,having a circle of hair between the eye-brows Bcar,mfn.
सोर्मि,sormi,"having waves, heaving, surging S3is3.",mfn.
सोल,sola,cold L.,mfn.
सोलङ्क,solaṅka,N. of a family Cat.,m.
सोलूक,solūka,N. of a poet Cat.,m.
सोल्कालातावपोथिक,solkālātāvapothika,"with machines for hurling down fire-brands and lighted darts (on the enemy Page1251,3",mfn.
सोल्लास,sollāsa,rejoicing,mfn.
सोल्लुण्ठ,solluṇṭha,ironical,mfn.
सोल्लेखम्,sollekham,distinctly Viddh.,ind.
सोल्लोक,solloka,N. of a poet (cf. solUka and sohnoka) Cat.,m.
सोवाक,sovāka,or n,m.
सोवाल,sovāla,blackish or smoke-coloured,mfn.
सोशीर,sośīra,mf(A)n,mf
सोष,soṣa,mixed with salt earth (See /Uza) Ya1jn5.,mfn.
सोष्ट्रिक,soṣṭrika,mf(A)n,mf
सोष्णीष,soṣṇīṣa,having a turban MBh.,mfn.
सोष्मन्,soṣman,"having heat, hot, warm Ka1v.",mfn.
सोष्यन्ती,soṣyantī,fr. 2. sU) a parturient or lying-in woman S3Br.,n.
सोहञ्जि,sohañji,N. of a son of Kuntikunti BhP.,m.
सोहम्,soham,nom. sg. m. I myself (See 6. sa).,m.
सोहलग्राम,sohalagrāma,N. of a village Cat.,m.
सोहाइच,sohāica,N. of a thief Cat.,m.
सोह्नोक,sohnoka,cf. solloka) N. of a poet ib.,m.
सौकन्य,saukanya,relating to Sukanya1sukanyA MBh.,mfn.
सौकर,saukara,"mf(I)n. (fr. sU-kara) belonging or relating to a hog, hoggish, swinish Kir.",mf
सौकरायण,saukarāyaṇa,N. of a teacher S3Br.,m.
सौकर्य,saukarya,fr. su-kara,n.
सौकुमारक,saukumāraka,fr. su-kumAra) g. manojYAdi.,n.
सौकृति,saukṛti,fr. su-kfta) a patr. Sam2ska1rak.,m.
सौक्ति,saukti,a patr,m.
सौक्ष्म,saukṣma,fr. sUkzma),m.
सौख,saukha,patr,m.
सौगत,saugata,mf(I)n. (fr. su-gata) Buddhistic Katha1s.,mf
सौगन्ध,saugandha,mf(I)n,mf
सौगम्य,saugamya,fr. su-gama) easiness of access or attainment,n.
सौचक्य,saucakya,fr. sUcaka) g. purohitAdi.,n.
सौचित्ति,saucitti,prob,m.
सौचीक,saucīka,N. of a partic. Agniagni Sa1y. in RV.,m.
सौचुक,saucuka,N. of the father of Bhu1ti-ra1jaBUti-rAja (and grandfather of Indu-ra1jaindu-rAja) Cat.,m.
सौजन्य,saujanya,"fr. su-jana) goodness, kindness, benevolence, friendliness Mr2icch.",n.
सौजस्,saujas,strong,mfn.
सौजात,saujāta,fr. su-jAta) patr. of a R2ishifzi AitBr.,m.
